"id","category","short","long","searchText","createdAt","createdBy","updatedAt","updatedBy"
"VHJ1c3RDb250cm9sOjQ1Njc1ODk5LWE4YTYtNDcxMC05MTVkLTYxZmQ2OTA4MzcwNQ==","Organizational Security","Vault Defense has an incident response plan (IRP) in place","Vault Defense has a documented incident response plan (IRP) that outlines the processes and procedures for responding to security incidents, aligned with NIST 800-61 framework.","Vault Defense has an incident response plan (IRP) in place Vault Defense has a documented incident response plan (IRP) that outlines the processes and procedures for responding to security incidents, aligned with NIST 800-61 framework. Organizational Security","2025-12-16T23:31:08.453040+00:00","alan.turing@email.com","2026-01-16T19:52:47.760245+00:00","grace.hopper@email.com"
"VHJ1c3RDb250cm9sOmZkZTU0MjAxLTE3ZmItNGFiNS1iMTc0LTJkYzQ4NDVlMzIyYg==","Cloud Security","Data is distributed across multiple cloud regions","Vault Defense data is distributed across multiple cloud regions including US East (Virginia), EU (Ireland), and Asia Pacific (Sydney) to ensure availability and data residency compliance.","Data is distributed across multiple cloud regions Vault Defense data is distributed across multiple cloud regions including US East (Virginia), EU (Ireland), and Asia Pacific (Sydney) to ensure availability and data residency compliance. Cloud Security","2025-12-16T23:31:08.465520+00:00","ada.lovelace@email.com","2026-01-16T19:52:47.766265+00:00","linus.torvalds@email.com"
"VHJ1c3RDb250cm9sOmJiMGIzODIzLTQwY2MtNGQ2ZC1hOGU2LTY5YjgwZmM2NmZiOQ==","Cloud Security","All compute runs within private VPC and subnets","All Vault Defense compute resources run within private VPCs and subnets with no direct internet access, ensuring isolation from public networks and reducing attack surface.","All compute runs within private VPC and subnets All Vault Defense compute resources run within private VPCs and subnets with no direct internet access, ensuring isolation from public networks and reducing attack surface. Cloud Security","2025-12-16T23:31:08.477068+00:00","tim.berners-lee@email.com","2026-01-16T19:52:47.772752+00:00","guido.vanrossum@email.com"
"VHJ1c3RDb250cm9sOjc3MzVhN2ZlLTFkZjUtNDYwYi1iOTYyLTAwMzFkMTc0NGIwNA==","Security Monitoring","System logs are monitored 24/7 by VD SOC","Vault Defense logs are monitored 24/7/365 by the internal Security Operations Center (SOC), which functions as the central hub for threat detection and incident response.","System logs are monitored 24/7 by VD SOC Vault Defense logs are monitored 24/7/365 by the internal Security Operations Center (SOC), which functions as the central hub for threat detection and incident response. Security Monitoring","2025-12-16T23:31:08.489535+00:00","margaret.hamilton@email.com","2026-01-16T19:52:47.779830+00:00","dennis.ritchie@email.com"
"VHJ1c3RDb250cm9sOmE1NmE3YmI0LTJjNmEtNGVmZC1hNGFiLWEwY2RlMTg0YjQ4Zg==","Cloud Security","All APIs are protected by WAF","All Vault Defense APIs are protected by Web Application Firewalls (WAF) with custom rule sets to filter and monitor HTTP requests, protecting against OWASP Top 10 threats.","All APIs are protected by WAF All Vault Defense APIs are protected by Web Application Firewalls (WAF) with custom rule sets to filter and monitor HTTP requests, protecting against OWASP Top 10 threats. Cloud Security","2025-12-16T23:31:08.501907+00:00","ken.thompson@email.com","2026-01-16T19:52:47.786605+00:00","bjarne.stroustrup@email.com"
"VHJ1c3RDb250cm9sOjI1ZGU0NDUyLTA4MzEtNDhmYS1iOGRmLTJhNTMyZDlhMmZkZQ==","Security Monitoring","Annual third-party penetration testing is conducted","Vault Defense engages third-party security firms to conduct annual penetration tests of all external-facing applications and infrastructure to identify and remediate vulnerabilities.","Annual third-party penetration testing is conducted Vault Defense engages third-party security firms to conduct annual penetration tests of all external-facing applications and infrastructure to identify and remediate vulnerabilities. Security Monitoring","2025-12-16T23:31:08.513323+00:00","james.gosling@email.com","2026-01-16T19:52:47.793912+00:00","brendan.eich@email.com"
"VHJ1c3RDb250cm9sOjQ0NmZmN2VkLTQzZjgtNGY0YS1iMjI3LTYyNTAwNzczNzkzZQ==","Secure Development","VD follows secure-by-design development principles","Vault Defense incorporates security best practices into the design and development process, ensuring that security is considered at every stage of the software development lifecycle.","VD follows secure-by-design development principles Vault Defense incorporates security best practices into the design and development process, ensuring that security is considered at every stage of the software development lifecycle. Secure Development","2025-12-16T23:31:08.525471+00:00","john.mccarthy@email.com","2026-01-16T19:52:47.801381+00:00","donald.knuth@email.com"
"VHJ1c3RDb250cm9sOjJjZThiMGFlLWU5MDYtNDgyMy04NGQ3LWUzYTE2MWUwNTY3Zg==","Data Security","Data is encrypted in transit","All data in transit is encrypted using TLS 1.3 (with fallback to TLS 1.2) with strong cipher suites, ensuring confidentiality and integrity of data as it moves across networks.","Data is encrypted in transit All data in transit is encrypted using TLS 1.3 (with fallback to TLS 1.2) with strong cipher suites, ensuring confidentiality and integrity of data as it moves across networks. Data Security","2025-12-16T23:31:08.318488+00:00","edsger.dijkstra@email.com","2026-01-16T19:52:47.703673+00:00","frances.allen@email.com"
"VHJ1c3RDb250cm9sOmM4OTFmODhkLWQ1ZDktNGU1YS04MDExLTNhYWJlZDA0ZTQyNg==","Data Security","Data is encrypted at rest","Vault Defense utilizes encrypted database instances with AES-256 encryption. All company-issued laptops utilize full disk encryption with hardware-backed key storage.","Data is encrypted at rest Vault Defense utilizes encrypted database instances with AES-256 encryption. All company-issued laptops utilize full disk encryption with hardware-backed key storage. Data Security","2025-12-16T23:31:08.332221+00:00","barbara.liskov@email.com","2026-01-16T19:52:47.710913+00:00","frances.allen@email.com"
"VHJ1c3RDb250cm9sOjlhMmVmNTVkLTMyMzUtNDQxNi1iMTg0LTY1MGM2YzJkZjZlNQ==","Data Security","Endpoint devices are encrypted and securely decommissioned","All Vault Defense laptops and endpoints are configured with full disk encryption. Decommissioned hardware is securely wiped to NIST 800-88 standards and/or physically destroyed.","Endpoint devices are encrypted and securely decommissioned All Vault Defense laptops and endpoints are configured with full disk encryption. Decommissioned hardware is securely wiped to NIST 800-88 standards and/or physically destroyed. Data Security","2025-12-16T23:31:08.344605+00:00","radia.perlman@email.com","2026-01-16T19:52:47.717004+00:00","katherine.johnson@email.com"
"VHJ1c3RDb250cm9sOmM2N2JkMjdjLTcwZTktNDNlNS05MGFkLTQ0ZTg3MjQxMTNkZg==","Secure Development","All engineers receive secure development training","All Vault Defense engineers undergo annual training on secure development practices, including threat modeling, secure coding techniques (OWASP), and vulnerability management.","All engineers receive secure development training All Vault Defense engineers undergo annual training on secure development practices, including threat modeling, secure coding techniques (OWASP), and vulnerability management. Secure Development","2025-12-16T23:31:08.356747+00:00","douglas.engelbart@email.com","2026-01-16T19:52:47.723428+00:00","tim.berners-lee@email.com"
"VHJ1c3RDb250cm9sOmU3MDM1YTlkLTlkZjgtNGJhOC04NzJhLTJkN2Y3NWVhMzdhNw==","Secure Development","Code reviews are mandatory for all changes","All code changes undergo mandatory peer review by at least one other engineer to ensure adherence to secure coding practices and identify potential vulnerabilities.","Code reviews are mandatory for all changes All code changes undergo mandatory peer review by at least one other engineer to ensure adherence to secure coding practices and identify potential vulnerabilities. Secure Development","2025-12-16T23:31:08.369477+00:00","bob.kahn@email.com","2026-01-16T19:52:47.729607+00:00","donald.knuth@email.com"
